time,open,high,low,close,volume,ticker
2021-03-10,14820,14940,14650,14890,3988000,TCH
2021-03-11,15080,15110,14890,14940,3821800,TCH
2021-03-12,15010,15010,14750,14850,3587000,TCH
2021-03-15,14820,15040,14750,14890,4015100,TCH
2021-03-16,14920,15600,14890,15470,9215400,TCH
2021-03-17,15600,16000,15500,15640,6236000,TCH
2021-03-18,15730,15730,15400,15600,4200500,TCH
2021-03-19,15470,15570,15080,15080,5082700,TCH
2021-03-22,15270,15370,15080,15200,3895800,TCH
2021-03-23,15200,15200,14750,14850,4431200,TCH
2021-03-24,14580,14750,14220,14360,6193600,TCH
2021-03-25,14390,14560,14120,14290,4423700,TCH
2021-03-26,14220,14360,13630,14160,4888800,TCH
2021-03-29,14360,14820,14180,14680,3548900,TCH
2021-03-30,14780,15080,14560,14940,4334300,TCH
2021-03-31,14940,15440,14750,15010,7797400,TCH
2021-04-01,15080,15930,15010,15900,11768100,TCH
2021-04-02,16000,16190,15570,15860,10056200,TCH
2021-04-05,16000,16219,15670,16090,14249700,TCH
2021-04-06,15860,17050,15760,16980,10585700,TCH
2021-04-07,16720,17360,16490,17300,10147400,TCH
2021-04-08,17080,17080,16720,17050,6876200,TCH
2021-04-09,16790,17300,16390,17300,18335900,TCH
2021-04-12,17050,17050,16750,16980,13462500,TCH
2021-04-13,16910,16910,16000,16120,10375400,TCH
2021-04-14,15790,16320,15670,16059,6823100,TCH
2021-04-15,16059,16460,15710,15710,6236200,TCH
2021-04-16,15670,15670,14850,15040,9160500,TCH
2021-04-19,15010,15530,14850,15310,6941800,TCH
2021-04-20,15400,15440,14920,14920,4829600,TCH
2021-04-22,14750,14970,14100,14100,6153900,TCH
2021-04-23,14100,14680,13960,14620,7949700,TCH
2021-04-26,14620,14620,14100,14100,4586400,TCH
2021-04-27,14100,14490,13890,14250,3400000,TCH
2021-04-28,14250,14580,14220,14420,3095800,TCH
2021-04-29,14560,14560,14220,14220,3798700,TCH
2021-05-04,14000,15040,13830,14780,5824300,TCH
2021-05-05,14940,15040,14750,14750,3480600,TCH
2021-05-06,15040,15400,14890,14890,6403700,TCH
2021-05-07,14820,14850,14290,14360,5665500,TCH
2021-05-10,14160,14620,14100,14320,4475900,TCH
2021-05-11,14420,14820,14420,14490,4534500,TCH
2021-05-12,14490,14680,14450,14620,2713900,TCH
2021-05-13,14650,14920,14420,14420,5250600,TCH
2021-05-14,14560,14750,14420,14750,4772300,TCH
2021-05-17,15080,15140,14680,15010,6798500,TCH
2021-05-18,14920,14920,14560,14560,3444400,TCH
2021-05-19,14560,14620,14290,14320,4403500,TCH
2021-05-20,14320,14390,13960,14390,6730200,TCH
2021-05-21,14360,14750,14120,14750,5059200,TCH
2021-05-24,14820,15400,14650,15400,11000200,TCH
2021-05-25,15200,15440,15110,15400,6501600,TCH
2021-05-26,15200,15240,14970,15080,4913400,TCH
2021-05-27,14940,14940,14420,14490,5724200,TCH
2021-05-28,14420,14850,14360,14750,5430000,TCH
2021-05-31,14560,14750,14420,14620,4819600,TCH
2021-06-01,14560,14560,14290,14320,6499500,TCH
2021-06-02,14250,14620,14160,14560,4469400,TCH
2021-06-03,14750,14750,14520,14650,5097100,TCH
2021-06-04,14650,14650,14420,14490,4955100,TCH
2021-06-07,14620,15080,14490,14820,5843400,TCH
2021-06-08,14850,14970,14360,14360,4956000,TCH
2021-06-09,14360,14560,14250,14420,4560300,TCH
2021-06-10,14360,14490,14290,14290,3864900,TCH
2021-06-11,14290,14490,14250,14360,4051100,TCH
2021-06-14,14360,14620,14250,14560,7615500,TCH
2021-06-15,14620,14620,14100,14620,8303000,TCH
2021-06-16,14650,14970,14490,14750,6656300,TCH
2021-06-17,14490,14750,14490,14560,3424600,TCH
2021-06-18,14620,15570,14490,15400,16894200,TCH
2021-06-21,15400,15400,14940,14940,5885900,TCH
2021-06-22,14940,15270,14850,14890,5421700,TCH
2021-06-23,14820,14890,14490,14490,6701900,TCH
2021-06-24,14490,14680,14360,14520,3828100,TCH
2021-06-25,14580,14620,14360,14450,4052900,TCH
2021-06-28,14420,14520,14360,14450,3853700,TCH
2021-06-29,14420,14620,14360,14360,4099900,TCH
2021-06-30,14360,14490,14320,14320,2541500,TCH
2021-07-01,14360,14420,14250,14360,3459100,TCH
2021-07-02,14390,14420,14220,14320,3599400,TCH
2021-07-05,14220,14320,13890,13960,5973500,TCH
2021-07-06,13890,14030,13370,13500,8454400,TCH
2021-07-07,13470,14360,12810,14360,10158200,TCH
2021-07-08,14000,14000,13630,13800,3314900,TCH
2021-07-09,13570,13600,13010,13100,4030600,TCH
2021-07-12,12980,13100,12200,12280,7699900,TCH
2021-07-13,12390,12880,12130,12880,5483500,TCH
2021-07-14,12730,12960,12340,12530,3969700,TCH
2021-07-15,12400,12660,12400,12560,3740900,TCH
2021-07-16,12600,12920,12530,12600,4106700,TCH
2021-07-19,12170,12530,11840,11840,6864600,TCH
2021-07-20,11880,12400,11540,12370,8076300,TCH
2021-07-21,12170,12560,12140,12400,11064400,TCH
2021-07-22,12230,12600,12230,12560,5776100,TCH
2021-07-23,12470,12530,12140,12140,2890300,TCH
2021-07-26,12000,12270,11880,12200,2480600,TCH
2021-07-27,12200,12400,12170,12340,3805800,TCH
2021-07-28,12200,12600,12140,12560,6891300,TCH
2021-07-29,12530,12530,12370,12400,2532000,TCH
2021-07-30,12400,12770,12270,12560,13089800,TCH
2021-08-02,12470,12530,12290,12340,3499000,TCH
2021-08-03,12340,12600,12230,12600,8621700,TCH
2021-08-04,12470,12530,12370,12400,3176300,TCH
2021-08-05,12340,12530,12270,12440,6237000,TCH
2021-08-06,12440,12530,12290,12370,6248500,TCH
2021-08-09,12340,12470,12340,12400,5071400,TCH
2021-08-10,12560,12920,12440,12890,11920900,TCH
2021-08-11,12960,13110,12920,12990,7943600,TCH
2021-08-12,12790,12890,12730,12790,4621300,TCH
2021-08-13,12730,12770,12370,12730,7676500,TCH
2021-08-16,12790,12820,12600,12600,5700100,TCH
2021-08-17,12630,12630,12400,12490,5232500,TCH
2021-08-18,12400,12790,12370,12660,12004700,TCH
2021-08-19,12700,12700,12440,12440,3452000,TCH
2021-08-20,12470,12530,12080,12470,12077800,TCH
2021-08-23,12270,12340,12000,12340,7320600,TCH
2021-08-24,12140,12270,11940,11940,5670400,TCH
2021-08-25,11970,12140,11880,12030,3090700,TCH
